# HDIC Project
# HDIC is an abbreviation of the Integrated Database of Hanzi Dictionaries in Early Japan
#
# KRM: Database of the Kanchi-in Manuscript of Ruiju Myōgishō
#
# Ruiju myogishō 類聚名義抄, Kanchi-in manuscript 観智院本, reorganized edition 改編本.
# anonymous Buddhist monk, the latter half of the 12th century.
#
# krm_headword_chars.tsv
#
# Version: 1.2.11 (latest, Newly released after the specification change)
# Date published: May 11, 2025
# Last modified: September 5, 2026
#
#
# Copyright (c) 2025-2026 HDIC project, IKEDA Shoju (Chair, Professor Emeritus, Hokkaido University)
# Contact: ikeda.shoju@gmail.com, liyuansapporo@yahoo.co.jp, toyjack@gmail.com, kleinekuma@gmail.com
#
# Data License Information and Access Rights
# License:
# Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0)
# Access Rights (Availability):
# Open access
#
# KRM format information:
# hanzi_id	A sequential ID assigned to each headword (single or multi-character) in the order of its appearance in the Myōgishō. It consists of a 5-digit numeric ID starting with 'S'.
# entry_id	A heading item ID (from krm_main) to which this character's headword belongs, formed by a 5-digit numeric ID starting with 'F'. For some added entry items, a 'b' suffix is appended.
# constituent_char	The constituent character itself. Abbreviation marks (ー) and iteration marks (〻) are converted to the actual characters they represent. Collated characters are, in principle, Kangxi Dictionary forms; the handling of Unicode new character forms (common-use forms, popular variants) is specified separately. For detailed collation notes, refer to krm_notes."
# character_order	Indicates the numerical order of appearance of the character within its headword entry.
# kazama_location_id	An ID indicating the location of this character in the Kazama Edition: K + Volume (2 digits) + Page (3 digits) + Line (1 digit) + Segment (1 digit) + Character Order in Segment (1 digit).
# tenri_location_id	An ID indicating the location of this character in the Tenri Edition: T + Volume (a/b/c) + Page (3 digits) + Line (1 digit) + Segment (1 digit) + Character Order in Segment (1 digit).
# img_file_name	File name of the headword character image (including the .jpg extension). The main part of the file name consists of a 7-digit number for images from Volume 1 to Volume 9, and an 8-digit number for images from Volume 10. For 7-digit numbers, the first digit indicates the volume number; for 8-digit numbers, the first two digits indicate Volume 10. The last 6 digits are based on the order of appearance, assigned according to a unique internal rule. Detailed documentation for this naming convention is not available as the work was completed over two decades ago. Null if no image is available.
#
# Acknowledgments:
# We are grateful to Tenri Central Library and Yagi Shoten for permission to publish the decipherment text of KRM.
#
# This work was supported by JSPS KAKENHI Grant Number 16H03422, 19H00526, 23K17500, 25K00466 and 26K21717.
#
hanzi_id	entry_id	constituent_char	character_order	kazama_location_id	tenri_location_id	img_file_name
S00057	F00036	■	1	K01002720	Ta024720	1009720.jpg
S00058	F00037	仕	1	K01002730	Ta024730	1009730.jpg
S00059	F00038	任	1	K01002810	Ta024810	1009810.jpg
S00060	F00039	俇	1	K01003110	Ta025110	1010110.jpg
S00061	F00040	住	1	K01003120	Ta025120	1010120.jpg
S00062	F00041	𠌃	1	K01003130	Ta025130	1010130.jpg
S00063	F00042	佳	1	K01003210	Ta025210	1010210.jpg
S00064	F00043	位	1	K01003230	Ta025230	1010230.jpg
S00065	F00044	版	1	K01003311	Ta025311	1010311.jpg
S00066	F00044	位	2	K01003312	Ta025312	1010312.jpg
S00067	F00045	倚	1	K01003320	Ta025320	1010320.jpg
S00068	F00046	徒	1	K01003411	Ta025411	1010411.jpg
S00069	F00046	倚	2	K01003412	Ta025412	1010412.jpg
S00070	F00047	倚	1	K01003421	Ta025421	1010421.jpg
S00071	F00047	子	2	K01003422	Ta025422	1010422.jpg
S00072	F00048	倍	1	K01003430	Ta025430	1010430.jpg
S00073	F00049	倍	1	K01003521	Ta025521	1010521.jpg
S00074	F00049	羅	2	K01003522	Ta025522	1010522.jpg
S00075	F00049	麼	3	K01003523	Ta025523	1010523.jpg
S00076	F00050	佞	1	K01003530	Ta025530	1010530.jpg
S00077	F00051	佞	1	K01003611	Ta025611	1010611.jpg
S00078	F00051	倿	2	K01003612	Ta025612	1010612.jpg
S00079	F00052	偣	1	K01003620	Ta025620	1010620.jpg
S00080	F00053	億	1	K01003630	Ta025630	1010630.jpg
S00081	F00054	僮	1	K01003710	Ta025710	1010710.jpg
S00082	F00055	停	1	K01003731	Ta025731	1010731.jpg
S00083	F00055	僮	2	K01003732	Ta025732	1010732.jpg
S00084	F00056	𫢷	1	K01003810	Ta025810	1010810.jpg
S00085	F00057	傍	1	K01003820	Ta025820	1010820.jpg
S00086	F00058	傍	1	K01004111	Ta026111	1011111.jpg
S00087	F00058	偟	2	K01004112	Ta026112	1011112.jpg
S00088	F00059	仿	1	K01004121	Ta026121	1011121.jpg
S00089	F00059	偟	2	K01004122	Ta026122	1011122.jpg
S00090	F00060	偙	1	K01004140	Ta026140	1011140.jpg
S00091	F00061	㒒	1	K01004211	Ta026211	1011211.jpg
S00092	F00061	僕	2	K01004212	Ta026212	1011212.jpg
S00093	F00062	僕β	1	K01004241	Ta026241	1011241.jpg
S00094	F00063	僕γ	1	K01004242	Ta026242	1011242.jpg
S00095	F00064	僕δ	1	K01004310	Ta026310	1011310.jpg
S00096	F00065	栠	1	K01004320	Ta026320	1011320.jpg
S00097	F00066	𡜟	1	K01004330	Ta026330	1011330.jpg
S00098	F00067	⿰亻⿱壬下	1	K01004340	Ta026340	1011340.jpg
S00099	F00068	⿰亻儿𡈼	1	K01004410	Ta026410	1011410.jpg
S00100	F00069	⿰亻⿱𡈼儿	1	K01004420	Ta026420	1011420.jpg
S00101	F00070	䋕	1	K01004430	Ta026430	1011430.jpg
S00102	F00071	⿰亻⿱王⿱冖夗	1	K01004440	Ta026440	1011440.jpg
S00103	F00072	僀	1	K01004510	Ta026510	1011510.jpg
S00104	F00073	傡	1	K01004520	Ta026520	1011520.jpg
S00105	F00074	𠊧	1	K01004530	Ta026530	1011530.jpg
S00106	F00075	併	1	K01004540	Ta026540	1011540.jpg
S00107	F00076	𠋈	1	K01004630	Ta026630	1011630.jpg
S00108	F00077	㑊	1	K01004640	Ta026640	1011640.jpg
S00109	F00078	㑞	1	K01004710	Ta026710	1011710.jpg
S00110	F00079	𬾿	1	K01004721	Ta026721	1011721.jpg
S00111	F00079	僑	2	K01004722	Ta026722	1011722.jpg
S00112	F00079	⿰亻⿱有冋	3	K01004723	Ta026723	1011723.jpg
S00113	F00080	𠆧	1	K01004740	Ta026740	1011740.jpg
S00114	F00081	以	1	K01004810	Ta026810	1011810.jpg
S00115	F00082	㪽	1	K01005121	Ta027121	1012121.jpg
S00116	F00082	以	2	K01005122	Ta027122	1012122.jpg
S00117	F00083	是	1	K01005131	Ta027131	1012130.jpg
S00117b	F00083	以	2	K01005132	Ta027132	
S00118	F00084	㐺	1	K01005140	Ta027140	1012140.jpg
S00119	F00085	众	1	K01005210	Ta027210	1012210.jpg
S00120	F00086	从	1	K01005220	Ta027220	1012220.jpg
S00121	F00087	仌	1	K01005230	Ta027230	1012230.jpg
S00122	F00088	仍	1	K01005240	Ta027240	1012240.jpg
S00123	F00089	⿰亻⿱乃人	1	K01005330	Ta027330	1012330.jpg
S00124	F00090	𫣂	1	K01005340	Ta027340	1012340.jpg
S00125	F00091	𠆵	1	K01005410	Ta027410	1012410.jpg
S00126	F00092	仔	1	K01005420	Ta027420	1012420.jpg
S00127	F00093	𠊩	1	K01005430	Ta027430	1012430.jpg
S00128	F00094	僝	1	K01005510	Ta027510	1012510.jpg
S00129	F00095	𠆵	1	K01005520	Ta027520	1012520.jpg
S00130	F00096	伋	1	K01005530	Ta027530	1012530.jpg
S00131	F00097	仮	1	K01005540	Ta027540	1012540.jpg
S00132	F00098	仅	1	K01005610	Ta027610	1012610.jpg
S00133	F00099	⿰亻叒	1	K01005620	Ta027620	1012620.jpg
S00134	F00100	㐸	1	K01005630	Ta027630	1012630.jpg
S00135	F00101	似	1	K01005640	Ta027640	1012640.jpg
S00136	F00102	佀	1	K01005731	Ta027731	1012731.jpg
S00137	F00102	⿰亻⿱吅九	2	K01005732	Ta027732	1012732.jpg
S00138	F00103	如	1	K01005741	Ta027741	1012741.jpg
S00139	F00103	似	2	K01005742	Ta027742	1012742.jpg
S00140	F00104	不	1	K01005811	Ta027811	1012811.jpg
S00141	F00104	似	2	K01005812	Ta027812	1012812.jpg
S00142	F00105	佽	1	K01005820	Ta027820	1012820.jpg
S00143	F00106	攸	1	K01005830	Ta027830	1012830.jpg
S00144	F00107	修	1	K01005840	Ta027840	1012840.jpg
S00145	F00108	修	1	K01006121	Ta028121	1013121.jpg
S00146	F00108	理	2	K01006122	Ta028122	1013122.jpg
S00147	F00109	修	1	K01006130	Ta028130	1013130.jpg
S00148	F00110	脩	1	K01006140	Ta028140	1013140.jpg
S00149	F00111	偱	1	K01006220	Ta028220	1013220.jpg
S00150	F00112	⿰亻⿱佰心	1	K01006240	Ta028240	1013240.jpg
S00151	F00113	⿰亻⿱有心	1	K01006310	Ta028310	1013310.jpg
S00152	F00114	翛	1	K01006321	Ta028321	1013321.jpg
S00153	F00114	倐	2	K01006322	Ta028322	1013340.jpg
S00154	F00114	倏	3	K01006323	Ta028323	1013322.jpg
S00155	F00114	翛β	4	K01006324	Ta028324	1013323.jpg
S00156	F00115	⿱翛立	1	K01006411	Ta028411	1013411.jpg
S00157	F00115	𢢱	2	K01006412	Ta028412	1013412.jpg
S00158	F00116	𨁀	1	K01006420	Ta028420	1013420.jpg
S00159	F00117	倐	1	K01006431	Ta028431	1013431.jpg
S00160	F00117	忽	2	K01006432	Ta028432	1013432.jpg
S00161	F00118	儵	1	K01006440	Ta028440	1013440.jpg
S00162	F00119	⿲亻❘𤋱	1	K01006531	Ta028531	1013531.jpg
S00163	F00120	儵	1	K01006532	Ta028532	1013532.jpg
S00164	F00121	絛	1	K01006541	Ta028541	1013541.jpg
S00165	F00121	𠍞	2	K01006542	Ta028542	1013542.jpg
S00166	F00122	鯈	1	K01006620	Ta028620	1013620.jpg
S00167	F00123	條	1	K01006640	Ta028640	1013640.jpg
S00168	F00124	䖺	1	K01006710	Ta028710	1013710.jpg
S00169	F00125	鞗	1	K01006720	Ta028720	1013720.jpg
S00170	F00126	𠏤	1	K01006730	Ta028730	1013730.jpg
S00171	F00127	㒠	1	K01006740	Ta028740	1013740.jpg
S00172	F00128	𠎷	1	K01006810	Ta028810	1013810.jpg
S00173	F00129	㚢	1	K01006820	Ta028820	1013820.jpg
S00174	F00130	侞	1	K01006830	Ta028830	1013830.jpg
S00175	F00131	倁	1	K01006840	Ta028840	1013840.jpg
S00176	F00132	俰	1	K01007110	Ta029110	1014110.jpg
S00177	F00133	伽	1	K01007120	Ta029120	1014120.jpg
S00178	F00134	俐	1	K01007130	Ta029130	1014130.jpg
S00179	F00135	𠎆	1	K01007140	Ta029140	1014140.jpg
S00180	F00136	僜	1	K01007210	Ta029210	1014210.jpg
S00181	F00137	僊	1	K01007220	Ta029220	1014220.jpg
S00182	F00138	仙	1	K01007231	Ta029231	1014231.jpg
S00183	F00139	〓	1	K01007232	Ta029232	1014232.jpg
S00184	F00139	〓	2	K01007233	Ta029233	1014233.jpg
S00185	F00140	⿰亻⿱西令	1	K01007241	Ta029241	1014241.jpg
S00186	F00141	𠑗	1	K01007242	Ta029242	1014242.jpg
S00187	F00142	神	1	K01007311	Ta029311	1014311.jpg
S00188	F00142	仙	2	K01007312	Ta029312	1014312.jpg
S00189	F00143	⿰亻𢙣	1	K01007320	Ta029320	1014320.jpg
S00190	F00144	偠	1	K01007330	Ta029330	1014330.jpg
S00191	F00145	価	1	K01007340	Ta029340	1014340.jpg
S00192	F00146	𫣗	1	K01007410	Ta029410	1014410.jpg
S00193	F00147	⿰亻⿱覀𤰞	1	K01007420	Ta029420	1014420.jpg
S00194	F00148	僄	1	K01007430	Ta029430	1014430.jpg
S00195	F00149	𠐆	1	K01007441	Ta029441	1014441.jpg
S00196	F00150	⿰亻⿳覀二灬	1	K01007442	Ta029442	1014442.jpg
S00197	F00151	僄	1	K01007511	Ta029511	1014511.jpg
S00198	F00151	狡	2	K01007512	Ta029512	1014512.jpg
S00199	F00152	什	1	K01007520	Ta029520	1014520.jpg
S00200	F00153	⿰什彡	1	K01007540	Ta029540	1014540.jpg
S00201	F00154	仟	1	K01007610	Ta029610	1014610.jpg
S00202	F00155	仆	1	K01007620	Ta029620	1014620.jpg
S00203	F00156	付	1	K01007640	Ta029640	1014640.jpg
S00204	F00157	休	1	K01007710	Ta029710	1014710.jpg
S00205	F00158	𠇾	1	K01007741	Ta029741	1014741.jpg
S00206	F00159	𠇾	1	K01007742	Ta029742	1014742.jpg
S00207	F00160	𠇲	1	K01007743	Ta029743	1014743.jpg
S00208	F00161	休	1	K01007744	Ta029744	1014744.jpg
S00209	F00161	息	2	K01007810	Ta029810	1014810.jpg
S00210	F00162	伓	1	K01007820	Ta029820	1014820.jpg
S00211	F00163	俖	1	K01007830	Ta029830	1014830.jpg
S00212	F00164	㲻	1	K01007840	Ta029840	1014840.jpg
S00213	F00165	㲻	1	K01008110	Ta030110	1015110.jpg
S00214	F00166	鵂	1	K01008120	Ta030120	1015120.jpg
S00215	F00167	𪀪	1	K01008131	Ta030131	1015131.jpg
S00216	F00168	何	1	K01008132	Ta030132	1015132.jpg
S00217	F00169	如	1	K01008231	Ta030231	1015231.jpg
S00218	F00169	何	2	K01008232	Ta030232	1015232.jpg
S00219	F00170	何	1	K01008241	Ta030241	1015241.jpg
S00220	F00170	如	2	K01008242	Ta030242	1015242.jpg
S00221	F00171	何	1	K01008311	Ta030311	1015311.jpg
S00222	F00171	若	2	K01008312	Ta030312	1015312.jpg
S00223	F00172	何	1	K01008321	Ta030321	1015321.jpg
S00224	F00172	哉	2	K01008322	Ta030322	1015322.jpg
S00225	F00173	其	1	K01008331	Ta030331	1015331.jpg
S00226	F00173	何	2	K01008332	Ta030332	1015332.jpg
S00227	F00174	於	1	K01008341	Ta030341	1015341.jpg
S00228	F00174	何	2	K01008342	Ta030342	1015342.jpg
S00229	F00174b	奈	1	K01008343	Ta030343	1015343.jpg
S00230	F00174b	何	2	K01008344	Ta030344	1015344.jpg
S00231	F00175	奈	1	K01008411	Ta030411	1015411.jpg
S00232	F00175	警	2	K01008412	Ta030412	1015412.jpg
S00233	F00175	何	3	K01008413	Ta030413	1015413.jpg
S00234	F00176	不	1	K01008421	Ta030421	1015421.jpg
S00235	F00176	奈	2	K01008422	Ta030422	1015422.jpg
S00235b	F00176	何	3	K01008423	Ta030423	
S00236	F00177	云	1	K01008431	Ta030431	1015431.jpg
S00237	F00177	何	2	K01008432	Ta030432	1015432.jpg
S00238	F00178	何	1	K01008511	Ta030511	1015511.jpg
S00239	F00178	人	2	K01008512	Ta030512	1015512.jpg
S00240	F00179	何	1	K01008521	Ta030521	1015521.jpg
S00241	F00179	因	2	K01008522	Ta030522	1015522.jpg
S00242	F00180	何	1	K01008531	Ta030531	1015531.jpg
S00243	F00180	緣	2	K01008532	Ta030532	1015532.jpg
S00244	F00181	何	1	K01008541	Ta030541	1015541.jpg
S00245	F00181	以	2	K01008542	Ta030542	1015542.jpg
S00246	F00182	何	1	K01008611	Ta030611	1015611.jpg
S00247	F00182	以	2	K01008612	Ta030612	1015612.jpg
S00248	F00182	故	3	K01008613	Ta030613	1015613.jpg
S00249	F00183	何	1	K01008621	Ta030621	1015621.jpg
S00250	F00183	須	2	K01008622	Ta030622	1015622.jpg
S00251	F00184	何	1	K01008631	Ta030631	1015631.jpg
S00252	F00184	為	2	K01008632	Ta030632	1015632.jpg
S00253	F00185	幾	1	K01008641	Ta030641	1015641.jpg
S00254	F00185	何	2	K01008642	Ta030642	1015642.jpg
S00255	F00186	何	1	K01008711	Ta030711	1015711.jpg
S00256	F00186	焉	2	K01008712	Ta030712	1015712.jpg
S00257	F00187	如	1	K01008721	Ta030721	1015721.jpg
S00258	F00187	之	2	K01008722	Ta030722	1015722.jpg
S00259	F00187	何	3	K01008723	Ta030723	1015723.jpg
S00260	F00188	無	1	K01008731	Ta030731	1015731.jpg
S00261	F00188	何	2	K01008732	Ta030732	1015732.jpg
S00262	F00189	其	1	K01008741	Ta030741	1015741.jpg
S00263	F00189	如	2	K01008742	Ta030742	1015742.jpg
S00264	F00189	何	3	K01008743	Ta030743	1015743.jpg
S00265	F00189	予	4	K01008744	Ta030744	1015744.jpg
S00266	F00189	何	5	K01008745	Ta030745	1015745.jpg
S00267	F00190	⿰亻哥	1	K01008810	Ta030810	1015810.jpg
S00268	F00191	伺	1	K01008820	Ta030820	1015820.jpg
S00269	F00192	侗	1	K01008830	Ta030830	1015830.jpg
S00270	F00193	倜	1	K01008840	Ta030840	1015840.jpg
S00271	F00194	侚	1	K01009111	Ta031111	1016111.jpg
S00272	F00194	伨	2	K01009112	Ta031112	1016112.jpg
S00273	F00195	𠋹	1	K01009140	Ta031140	1016140.jpg
S00274	F00196	佝	1	K01009210	Ta031210	1016210.jpg
S00275	F00197	仢	1	K01009220	Ta031220	1016220.jpg
S00276	F00198	伆	1	K01009230	Ta031230	1016230.jpg
S00277	F00199	⿰亻向	1	K01009240	Ta031240	1016240.jpg
S00278	F00200	佰	1	K01009310	Ta031310	1016310.jpg
S00279	F00201	伯	1	K01009320	Ta031320	1016320.jpg
S00280	F00202	阿	1	K01009331	Ta031331	1016331.jpg
S00281	F00202	伯	2	K01009332	Ta031332	1016332.jpg
S00282	F00203	⿰亻旧	1	K01009340	Ta031340	1016340.jpg
S00283	F00204	仇	1	K01009410	Ta031410	1016410.jpg
S00284	F00205	𠆩	1	K01009430	Ta031430	1016430.jpg
S00285	F00206	仉	1	K01009440	Ta031440	1016440.jpg
S00286	F00207	⿰亻七	1	K01009510	Ta031510	1016510.jpg
S00287	F00208	伍	1	K01009520	Ta031520	1016520.jpg
S00288	F00209	俉	1	K01009540	Ta031540	1016540.jpg
S00289	F00210	伉	1	K01009611	Ta031611	1016611.jpg
S00290	F00210	伔	2	K01009612	Ta031612	1016612.jpg
S00291	F00211	⿰亻⿱𠂉凡	1	K01009641	Ta031641	1016641.jpg
S00292	F00211	〓	2	K01009642	Ta031642	1016642.jpg
S00293	F00211	〓	3	K01009643	Ta031643	1016643.jpg
S00294	F00212	伉	1	K01009711	Ta031711	1016711.jpg
S00295	F00212	儷	2	K01009712	Ta031712	1016712.jpg
S00296	F00213	儷	1	K01009810	Ta031810	1016810.jpg
S00297	F00214	㒧	1	K01009820	Ta031820	1016820.jpg
S00298	F00215	㐾	1	K01009831	Ta031831	1016831.jpg
S00299	F00215	㐳	2	K01009832	Ta031832	1016832.jpg
S00300	F00216	仡	1	K01009840	Ta031840	1016840.jpg
S00301	F00217	㐹	1	K01010110	Ta032110	1017110.jpg
S00302	F00218	优	1	K01010120	Ta032120	1017120.jpg
S00303	F00219	㐾	1	K01010130	Ta032130	1017130.jpg
S00304	F00220	俒	1	K01010140	Ta032140	1017140.jpg
S00305	F00221	𬾐	1	K01010210	Ta032210	1017210.jpg
S00306	F00222	𠉵	1	K01010220	Ta032220	1017220.jpg
S00307	F00223	侻	1	K01010230	Ta032230	1017230.jpg
S00308	F00224	侁	1	K01010240	Ta032240	1017240.jpg
S00309	F00225	侊	1	K01010310	Ta032310	1017310.jpg
S00310	F00226	𬾁	1	K01010320	Ta032320	1017320.jpg
S00311	F00227	⿰亻尭	1	K01010331	Ta032331	1017331.jpg
S00312	F00227	僥	2	K01010332	Ta032332	1017332.jpg
S00313	F00228	僥	1	K01010411	Ta032411	1017411.jpg
S00314	F00228	倖	2	K01010412	Ta032412	1017412.jpg
S00315	F00229	倖	1	K01010431	Ta032431	1017431.jpg
S00316	F00229	倖β	2	K01010432	Ta032432	1017432.jpg
S00317	F00230	⿰亻兜	1	K01010440	Ta032440	1017440.jpg
S00318	F00231	俛	1	K01010510	Ta032510	1017510.jpg
S00319	F00232	俯	1	K01010531	Ta032531	1017531.jpg
S00320	F00232	俛	2	K01010532	Ta032532	1017532.jpg
S00321	F00233	俯	1	K01010611	Ta032611	1017611.jpg
S00322	F00233	仰	2	K01010612	Ta032612	1017612.jpg
S00323	F00234	俛	1	K01010641	Ta032641	1017641.jpg
S00324	F00234	仰	2	K01010642	Ta032642	1017642.jpg
S00325	F00235	端	1	K01010711	Ta032711	1017711.jpg
S00326	F00235	仰	2	K01010712	Ta032712	1017712.jpg
S00327	F00236	儳	1	K01010720	Ta032720	1017720.jpg
S00328	F00237	儳	1	K01010741	Ta032741	1017741.jpg
S00329	F00237	儳	2	K01010742	Ta032742	1017742.jpg
S00330	F00238	儳	1	K01010811	Ta032811	1017811.jpg
S00331	F00238	和	2	K01010812	Ta032812	1017812.jpg
S00332	F00239	儳	1	K01010821	Ta032821	1017821.jpg
S00333	F00239	言	2	K01010822	Ta032822	1017822.jpg
S00334	F00240	僶	1	K01010831	Ta032831	1017831.jpg
S00335	F00240	僶	2	K01010832	Ta032832	1017832.jpg
S00336	F00241	傀	1	K01011111	Ta033111	1018111.jpg
S00337	F00241	儡	2	K01011112	Ta033112	1018112.jpg
S00338	F00242	𧝛	1	K01011211	Ta033211	1018211.jpg
S00339	F00242	𠐦	2	K01011212	Ta033212	1018212.jpg
S00340	F00243	𠐤	1	K01011221	Ta033221	1018221.jpg
S00341	F00243	𧝛	2	K01011222	Ta033222	1018222.jpg
S00342	F00243	𠎺	3	K01011223	Ta033223	1018223.jpg
S00343	F00244	傀	1	K01011241	Ta033241	1018231.jpg
S00344	F00244	儡	2	K01011242	Ta033242	1018232.jpg
S00345	F00244	師	3	K01011243	Ta033243	1018233.jpg
S00346	F00245	傀	1	K01011311	Ta033311	1018311.jpg
S00347	F00245	儡	2	K01011312	Ta033312	1018312.jpg
S00348	F00245	子	3	K01011313	Ta033313	1018313.jpg
S00349	F00246	𫣅	1	K01011321	Ta033321	1018321.jpg
S00350	F00247	傀	1	K01011322	Ta033322	1018322.jpg
S00351	F00248	𠐞	1	K01011323	Ta033323	1018323.jpg
S00352	F00249	佦	1	K01011340	Ta033340	1018340.jpg
