# HDIC Project
# HDIC is an abbreviation of the Integrated Database of Hanzi Dictionaries in Early Japan
#
# KRM: Database of the Kanchi-in Manuscript of Ruiju Myōgishō
#
# Ruiju myogishō 類聚名義抄, Kanchi-in manuscript 観智院本, reorganized edition 改編本.
# anonymous Buddhist monk, the latter half of the 12th century.
#
# krm_pronunciations.tsv
#
# Version: 1.2.13 (latest, DHSJR format)
# Date published: May 20, 2025
# Last modified: August 18, 2026
#
#
# Copyright (c) 2025-2026 HDIC project, IKEDA Shoju (Chair, Professor Emeritus, Hokkaido University)
# Contact: ikeda.shoju@gmail.com, liyuansapporo@yahoo.co.jp, toyjack@gmail.com, kleinekuma@gmail.com
#
# Data License Information and Access Rights
# License:
# Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0)
# Access Rights (Availability):
# Open access
#
# The Phonetic Glosses in the Kanchi-in manuscript of the Ruiju Myōgishō include Fanqie spellings (反切), Similar sound notes (類音注, ruion-chū), and Kana glosses (仮名注, kana-chū). 
# These are often accompanied by Tone marks (声点, shōten).
# As a database for Sino-Japanese pronunciations, the "Database of Historical Sino-Japanese Readings" (abbreviated as DHSJR), developed by Professor Katō Taitsuru and others, offers exceptionally rich content. 
# Its specifications are also publicly available in detail. 
# Accordingly, as part of the HDIC project, we have decided to release data in accordance with the DHSJR specifications.
#
# The DHSJR defines a data structure with 23 column names.
# To facilitate linkage with the Ruiju Myōgishō data included in HDIC, it is necessary for HDIC to assign unique column names to its own data files and to establish Primary Keys and Foreign Keys for interoperability between HDIC's internal data files.
# For this purpose, pronunciation_id (音注ID) has been set as the Primary Key, and definition_seq_id (注文ID) as the Foreign Key.
# Since the Ruiju Myōgishō features diverse formats for its Phonetic Glosses, a classification field named annotation_format (音注型) has been established to categorize them.
# While DHSJR uses Japanese column names, HDIC employs English ones. Therefore, for data processing convenience within HDIC, English column names have been adopted.
#
# KRM format information:
# dhsjr_id	DHSJR unique ID for each single Hanzi (Chinese character) (integrated data only).
# 	       (This column is currently empty. The data will be added once the official IDs are finalized by the DHSJR project.)
# pronunciation_id	ID for each Phonetic Gloss. This is derived from definition_seq_id by extracting only those elements where the type (from definition_type_name in krm_notes) is Phonetic Gloss. Suffixes 'b', 'c', 'd' are appended for variant forms.
# definition_seq_id	An identifier for each component of the Definition (Original Glosses) or for the Headword itself within an Entry. It is formed by appending a sequential suffix (e.g., "_00" for the Headword, "_01", "_02" for subsequent elements) to the corresponding entry_id.
# material_id	Material ID
# material_name	Name of the material
# material_character_index	Sequential number of a Hanzi (Chinese character)'s appearance in the material.
#                           Numbers 1–27978 correspond to the physical order of characters in the original manuscript.
#                           Numbers 30001 and above are assigned to records added after the initial encoding
#                           (e.g., annotation characters newly identified as requiring separate entries)
#                           and do not correspond to physical positions in the manuscript.
# material_word_index	Sequential number of a Chinese word's appearance in the material
# character_headword	Headword column for Hanzi (Chinese characters) with Phonetic Glosses
# character_form	Hanzi (Chinese characters) that have Phonetic Glosses
# word_headword	Headword column of Chinese words containing Hanzi (Chinese characters) with Phonetic Glosses
# word_form	Chinese words containing Hanzi (Chinese characters) with Phonetic Glosses
# word_alpha	Entered when there is an alphabetic representation of the Chinese word
# word_type	Indicates the word type when there are mixed-language words (e.g., hybrid Sino-Japanese words)
# word_position	Position of the single Hanzi (Chinese character) within the Chinese word
# character_mora_count	Number of morae for the single Hanzi (Chinese character)
# tone_marks	Tone marks for single Hanzi (Chinese characters), indicating Four Tones (平上去入), Six Tones (平平軽上去入軽入), and voicing (清濁).
# tone_pattern	Combination of Tone marks for Chinese words. Hanzi (Chinese characters) without Tone marks are represented by a full-width asterisk (＊).
# kana_notes	Kana glosses (仮名注) for Hanzi (Chinese characters), including kana-based fanqie.
# kana_pattern	Combination of Kana glosses for Chinese words. Hanzi (Chinese characters) without Kana glosses are represented by a full-width asterisk (＊).
# fanqie	Fanqie spellings (反切) for single Hanzi (Chinese characters).
# similar_sound	Similar sound notes (類音注) for single Hanzi (Chinese characters).
# annotation_format	Pattern of combined phonetic information (e.g., Kana glosses, Fanqie spellings, Similar sound notes, Tone marks).
# fushi_hakase	Fushi-hakase notations (melodic or intonational markings) attached to musical materials such as Shōmyō (Buddhist chant).
# other_phonetic_annotations	Other types of Phonetic Glosses.
# material_location	Location of single Hanzi (Chinese characters) and Chinese words within the material.
# remarks_pronunciation	Matters to be noted regarding these phonetic elements.
#
# Acknowledgments:
# We are grateful to Tenri Central Library and Yagi Shoten for permission to publish the decipherment text of KRM.
#
# This work was supported by JSPS KAKENHI Grant Number 16H03422, 19H00526, 23K17500, 25K00466 and 26K21717.
#
pronunciation_id	definition_seq_id	material_id	material_name	material_character_index	material_word_index	character_headword	character_form	word_headword	word_form	word_alpha	word_type	word_position	character_mora_count	tone_marks	tone_pattern	kana_notes	kana_pattern	fanqie	similar_sound	fushi_hakase	other_phonetic_annotations	material_location	annotation_format	remarks_pronunciation
F00028_04b	F00028_04	30-048-02	類聚名義抄_天理図書館_観智院本	28	20	侶	侶	侶	侶							和音…又ロ						K0100233	音注和音声点有	
F00030_01	F00030_01	30-048-02	類聚名義抄_天理図書館_観智院本	29	22	伿	伿	伿	伿					去	去				音易（去）			K0100242	音注声点有_類音注等	
F00030_01b	F00030_01	30-048-02	類聚名義抄_天理図書館_観智院本	30	22	易	易	易	易					去	去				音易（去）			K0100242	音注声点有_類音注等	音注字
F00031_01	F00031_01	30-048-02	類聚名義抄_天理図書館_観智院本	31	24	佋	佋	佋	佋										音韶「セウ」			K0100243	音注声点無_類音注等	
F00031_01b	F00031_01	30-048-02	類聚名義抄_天理図書館_観智院本	32	24	韶	韶	韶	韶							セウ			音韶「セウ」			K0100243	音注声点無_類音注等	
F00032_03	F00032_03	30-048-02	類聚名義抄_天理図書館_観智院本	33	26	侃	侃	侃	侃									空旱（上）反				K0100251	音注声点有_反切	
F00032_03b	F00032_03	30-048-02	類聚名義抄_天理図書館_観智院本	34	26	旱	旱	旱	旱					上	上							K0100251	音注声点有_反切	
F00032_06	F00032_06	30-048-02	類聚名義抄_天理図書館_観智院本	35	26	侃	侃	侃	侃												音看（平）之去聲	K0100251	音注声点有_類音注等	
F00032_06b	F00032_06	30-048-02	類聚名義抄_天理図書館_観智院本	36	26	看	看	看	看					平	平				音看（平）之去聲			K0100251	音注声点有_類音注等	音注字
F00032_07	F00032_07	30-048-02	類聚名義抄_天理図書館_観智院本	37	26	侃	侃	侃	侃									又苦寒（平）反				K0100251	音注声点有_反切	
F00033_01	F00033_01	30-048-02	類聚名義抄_天理図書館_観智院本	38	29	仁	仁	仁	仁					平濁	平濁				音人（平濁）「ニン」「シム」			K0100261	音注声点有_類音注等	
F00033_01b	F00033_01	30-048-02	類聚名義抄_天理図書館_観智院本	39	29	人	人	人	人					平濁	平濁	ニン	ニン		音人（平濁）「ニン」「シム」			K0100261	音注声点有_類音注等	音注字
F00033_01c	F00033_01	30-048-02	類聚名義抄_天理図書館_観智院本	40	29	人	人	人	人					平濁	平濁	シム	シム		音人（平濁）「ニン」「シム」			K0100261	音注声点有_類音注等	音注字
F00035_01	F00035_01	30-048-02	類聚名義抄_天理図書館_観智院本	41	31	仜	仜	仜	仜					平	平				音紅（平）			K0100271	音注声点有_類音注等	
F00037_01	F00037_01	30-048-02	類聚名義抄_天理図書館_観智院本	42	32	仕	仕	仕	仕										音士			K0100273	音注声点無_類音注等	
F00038_01	F00038_01	30-048-02	類聚名義抄_天理図書館_観智院本	43	33	任	任	任	任					平濁	平濁				音壬（平濁）「シム」「ニム」			K0100281	音注声点有_類音注等	
F00038_01b	F00038_01	30-048-02	類聚名義抄_天理図書館_観智院本	44	33	壬	壬	壬	壬					平濁	平濁	シム／ニム			音壬（平濁）「シム」「ニム」			K0100281	音注声点有_類音注等	音注字
F00038_17	F00038_17	30-048-02	類聚名義抄_天理図書館_観智院本	45	33	任	任	任	任					去	去						又去声	K0100281	音注声調	
F00039_01	F00039_01	30-048-02	類聚名義抄_天理図書館_観智院本	46	35	俇	俇	俇	俇									渠往反				K0100311	音注声点無_反切	
F00040_01	F00040_01	30-048-02	類聚名義抄_天理図書館_観智院本	47	36	住	住	住	住									雉具反				K0100312	音注声点無_反切	
F00040_05	F00040_05	30-048-02	類聚名義抄_天理図書館_観智院本	48	36	住	住	住	住							和地音〔ユ〕（＊平）						K0100312	音注和音声点有	
F00040_05b	F00040_05	30-048-02	類聚名義抄_天理図書館_観智院本	49	36	地	地	地	地					平	平							K0100312	音注和音声点有	
F00042_01	F00042_01	30-048-02	類聚名義抄_天理図書館_観智院本	50	38	佳	佳	佳	佳					平	平				音家（平）			K0100321	音注声点有_類音注等	
F00042_08	F00042_08	30-048-02	類聚名義抄_天理図書館_観智院本	51	38	佳	佳	佳	佳							和クヱ（平上）						K0100321	音注和音声点有	
F00042_09	F00042_09	30-048-02	類聚名義抄_天理図書館_観智院本	52	38	佳	佳	佳	佳							ケイ（平上）						K0100321	音注和音声点有	
F00043_01	F00043_01	30-048-02	類聚名義抄_天理図書館_観智院本	53	39	位	位	位	位									胡愧反				K0100323	音注声点無_反切	
F00043_08	F00043_08	30-048-02	類聚名義抄_天理図書館_観智院本	54	39	位	位	位	位							和ヰ（平）						K0100323	音注和音声点有	
F00044_01	F00044_01	30-048-02	類聚名義抄_天理図書館_観智院本	55	40	版	版	版位	版位			1				ヘム	ヘム＊					K0100331	音注声点無_此間・俗・仮名	
F00045_01	F00045_01	30-048-02	類聚名義抄_天理図書館_観智院本	56	41	倚	倚	倚	倚					上	上				音猗（上）「イ」			K0100332	音注声点有_類音注等	
F00045_01b	F00045_01	30-048-02	類聚名義抄_天理図書館_観智院本	57	41	猗	猗	猗	猗					上	上	イ			音猗（上）「イ」			K0100332	音注声点有_類音注等	音注字
F00048_01	F00048_01	30-048-02	類聚名義抄_天理図書館_観智院本	58	43	倍	倍	倍	倍									薄乃（上濁）「タイ」反				K0100343	音注声点有_反切	
F00048_01b	F00048_01	30-048-02	類聚名義抄_天理図書館_観智院本	59	43	乃	乃	乃	乃					上濁	上濁	タイ						K0100343	音注声点有_反切	
F00048_14	F00048_14	30-048-02	類聚名義抄_天理図書館_観智院本	60	43	倍	倍	倍	倍							和ハイ（＊去）						K0100343	音注和音声点有	
F00048_15	F00048_15	30-048-02	類聚名義抄_天理図書館_観智院本	61	43	倍	倍	倍	倍							ヘ						K0100343	音注和音声点無	
F00050_01	F00050_01	30-048-02	類聚名義抄_天理図書館_観智院本	62	45	佞	佞	佞	佞					去	去				音濘（去）			K0100353	音注声点有_類音注等	
F00050_01b	F00050_01	30-048-02	類聚名義抄_天理図書館_観智院本	63	45	濘	濘	濘	濘					去	去				音濘（去）			K0100353	音注声点有_類音注等	音注字
F00052_02	F00052_02	30-048-02	類聚名義抄_天理図書館_観智院本	64	47	偣	偣	偣	偣									於占反				K0100362	音注声点無_反切	
F00053_01	F00053_01	30-048-02	類聚名義抄_天理図書館_観智院本	65	48	億	億	億	億										音憶「ヨク」			K0100363	音注声点無_類音注等	
F00053_01b	F00053_01	30-048-02	類聚名義抄_天理図書館_観智院本	66	48	憶	憶	憶	憶							ヨク						K0100363	音注声点無_類音注等	
F00053_02	F00053_02	30-048-02	類聚名義抄_天理図書館_観智院本	67	48	億	億	億	億							ヲク						K0100363	音注和音声点無	
F00054_01	F00054_01	30-048-02	類聚名義抄_天理図書館_観智院本	68	50	僮	僮	僮	僮					去濁	去濁				音童（去濁）			K0100371	音注声点有_類音注等	
F00054_01b	F00054_01	30-048-02	類聚名義抄_天理図書館_観智院本	69	50	童	童	童	童					去濁	去濁				音童（去濁）			K0100371	音注声点有_類音注等	音注字
F00055_02	F00055_02	30-048-02	類聚名義抄_天理図書館_観智院本	70	52	停	停	停僮	停僮			1							音庭			K0100373	音注声点無_類音注等	
F00057_01	F00057_01	30-048-02	類聚名義抄_天理図書館_観智院本	71	53	傍	傍	傍	傍					平	平				音房（平）			K0100382	音注声点有_類音注等	
F00057_01b	F00057_01	30-048-02	類聚名義抄_天理図書館_観智院本	72	53	房	房	房	房					平	平				音房（平）			K0100382	音注声点有_類音注等	音注字
F00059_02	F00059_02	30-048-02	類聚名義抄_天理図書館_観智院本	73	55	偟	偟	仿偟	仿偟			2							音皇			K0100412	音注声点無_類音注等	
F00060_01	F00060_01	30-048-02	類聚名義抄_天理図書館_観智院本	74	56	偙	偙	偙	偙										音帝			K0100414	音注声点無_類音注等	
F00061_08	F00061_08	30-048-02	類聚名義抄_天理図書館_観智院本	75	57	僕	僕	僕	僕									蒲木反				K0100421	音注声点無_反切	
F00061_12	F00061_12	30-048-02	類聚名義抄_天理図書館_観智院本	76	57	僕	僕	僕	僕							和ホク（N＊）						K0100421	音注和音声点有	
F00065_01	F00065_01	30-048-02	類聚名義抄_天理図書館_観智院本	77	58	栠	栠	栠	栠									女懍「リム」反				K0100432	音注声点無_反切	
F00065_01b	F00065_01	30-048-02	類聚名義抄_天理図書館_観智院本	78	58	懍	懍	懍	懍							リム						K0100432	音注声点無_反切	
F00068_01	F00068_01	30-048-02	類聚名義抄_天理図書館_観智院本	79	60	𡔟	𡔟	𡔟	𡔟									皮水反				K0100441	音注声点無_反切	
F00070_02	F00070_02	30-048-02	類聚名義抄_天理図書館_観智院本	80	61	䋕	䋕	䋕	䋕									如針反				K0100443	音注声点無_反切	
F00070_03	F00070_03	30-048-02	類聚名義抄_天理図書館_観智院本	81	61	䋕	䋕	䋕	䋕									又如鴆反				K0100443	音注声点無_反切	
F00073_01	F00073_01	30-048-02	類聚名義抄_天理図書館_観智院本	82	62	傡	傡	傡	傡									蒲迸「ヘイ」反				K0100452	音注声点無_反切	
F00073_01b	F00073_01	30-048-02	類聚名義抄_天理図書館_観智院本	83	62	迸	迸	迸	迸							ヘイ						K0100452	音注声点無_反切	
F00073_03	F00073_03	30-048-02	類聚名義抄_天理図書館_観智院本	84	62	傡	傡	傡	傡										又並音			K0100452	音注声点無_類音注等	
F00075_01	F00075_01	30-048-02	類聚名義抄_天理図書館_観智院本	85	64	併	併	併	併									蒲鼎（上）「テイ」反				K0100454	音注声点有_反切	
F00075_01b	F00075_01	30-048-02	類聚名義抄_天理図書館_観智院本	86	64	鼎	鼎	鼎	鼎					上	上	テイ						K0100454	音注声点有_反切	
F00077_01	F00077_01	30-048-02	類聚名義抄_天理図書館_観智院本	87	66	㑊	㑊	㑊	㑊									肌及（入）反				K0100464	音注声点有_反切	
F00077_01b	F00077_01	30-048-02	類聚名義抄_天理図書館_観智院本	88	66	及	及	及	及					入	入							K0100464	音注声点有_反切	
F00077_02	F00077_02	30-048-02	類聚名義抄_天理図書館_観智院本	89	66	㑊	㑊	㑊	㑊										又亦音			K0100464	音注声点無_類音注等	
F00078_01	F00078_01	30-048-02	類聚名義抄_天理図書館_観智院本	90	68	㑞	㑞	㑞	㑞					平	平				垂（平）音			K0100471	音注声点有_類音注等	
F00078_02	F00078_02	30-048-02	類聚名義抄_天理図書館_観智院本	91	68	㑞	㑞	㑞	㑞										又孕音			K0100471	音注声点無_類音注等	
F00078_03	F00078_03	30-048-02	類聚名義抄_天理図書館_観智院本	92	68	㑞	㑞	㑞	㑞					去	去				送（去）音			K0100471	音注声点有_類音注等	
F00079_02	F00079_02	30-048-02	類聚名義抄_天理図書館_観智院本	93	69	僑	僑	僑	僑										喬音			K0100472	音注声点無_類音注等	
F00081_01	F00081_01	30-048-02	類聚名義抄_天理図書館_観智院本	94	70	以	以	以	以										音苡「イ」			K0100481	音注声点無_類音注等	
F00081_01b	F00081_01	30-048-02	類聚名義抄_天理図書館_観智院本	95	70	苡	苡	苡	苡							イ						K0100481	音注声点無_類音注等	
F00081_19	F00081_19	30-048-02	類聚名義抄_天理図書館_観智院本	96	70	以	以	以	以							和イ						K0100481	音注和音声点無	
F00084_01	F00084_01	30-048-02	類聚名義抄_天理図書館_観智院本	97	72	㐺	㐺	㐺	㐺					平濁	平濁				音吟（平濁）			K0100514	音注声点有_類音注等	
F00084_01b	F00084_01	30-048-02	類聚名義抄_天理図書館_観智院本	98	72	吟	吟	吟	吟					平濁	平濁				音吟（平濁）			K0100514	音注声点有_類音注等	音注字
F00084_02	F00084_02	30-048-02	類聚名義抄_天理図書館_観智院本	99	72	㐺	㐺	㐺	㐺									又牛飲反				K0100514	音注声点無_反切	
F00087_02	F00087_02	30-048-02	類聚名義抄_天理図書館_観智院本	100	74	仌	仌	仌	仌									鄙淩反				K0100523	音注声点無_反切	
F00088_01	F00088_01	30-048-02	類聚名義抄_天理図書館_観智院本	101	75	仍	仍	仍	仍									如陵反				K0100524	音注声点無_反切	
F00088_03	F00088_03	30-048-02	類聚名義抄_天理図書館_観智院本	102	75	仍	仍	仍	仍										呉音乘			K0100524	音注呉音	
F00090_01	F00090_01	30-048-02	類聚名義抄_天理図書館_観智院本	103	76	𫣂	𫣂	𫣂	𫣂										音盈			K0100534	音注声点無_類音注等	
F00091_01	F00091_01	30-048-02	類聚名義抄_天理図書館_観智院本	104	77	𠆵	𠆵	𠆵	𠆵									五奚（平）反				K0100541	音注声点有_反切	
F00091_01b	F00091_01	30-048-02	類聚名義抄_天理図書館_観智院本	105	77	奚	奚	奚	奚					平	平							K0100541	音注声点有_反切	反切下字
F00092_01	F00092_01	30-048-02	類聚名義抄_天理図書館_観智院本	106	79	仔	仔	仔	仔					上	上				音子（上）			K0100542	音注声点有_類音注等	
F00092_01b	F00092_01	30-048-02	類聚名義抄_天理図書館_観智院本	107	79	子	子	子	子					上	上				音子（上）			K0100542	音注声点有_類音注等	音注字
F00093_01	F00093_01	30-048-02	類聚名義抄_天理図書館_観智院本	108	81	𠊩	𠊩	𠊩	𠊩					上	上				［音］撰（上）			K0100543	音注声点有_類音注等	
F00093_01b	F00093_01	30-048-02	類聚名義抄_天理図書館_観智院本	109	81	撰	撰	撰	撰					上	上				［音］撰（上）			K0100543	音注声点有_類音注等	音注字
F00095_01	F00095_01	30-048-02	類聚名義抄_天理図書館_観智院本	110	83	𠆵	𠆵	𠆵	𠆵									烏計反				K0100552	音注声点無_反切	
